mutant serotonin control 4.abf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample_Rate,,Peaks,Annot,,loc,sumP,begin,term,length,sign,class,,,R_loc,R_sumP,R_length,E_loc,E_sumP,E_length,r2_loc,r2_sumP,r2_length,e1_loc,e1_sumP,e1_length,numIPSP,sumIPSP,numEPSP,sumEPSP,,,IPSP_loc,IPSP_sumP,IPSP_begin,IPSP_term,IPSP_length,IPSP_sign,IPSP_class,,,EPSP_loc,EPSP_sumP,EPSP_begin,EPSP_term,EPSP_length,EPSP_sign,EPSP_class,,,,spkName,label,R,G,B,classID
,,8171,i,,8171,2.043854328,8171,8172,3,,8,,,50420,-579.2462456,12,50240,66.52326202,16,50456,-21.05571556,7,0,0,0,1,21.43188356,1,4.284711356,,,34092,45.57154288,34089,34101,14,-1,7,,,,,,,,,,,,,,,,,,
,,8346,e,,8346,17.38384545,8345,8350,7,-1,6,,,50753,-343.6593031,12,50578,82.96382141,15,50781,-30.35188484,10,50565,-46.16407776,8,1,29.87600534,0,0,,,34131,1.115578675,34131,34131,2,,7,,,,,,,,,,,,,,,,,,
,,8352,E,,8352,3.764638063,8351,8353,4,-1,4,,,51840,-549.627602,11,51660,79.11962128,12,0,0,0,51649,-36.71004868,11,0,0,2,15.49327772,,,34146,20.36244417,34133,34152,21,1,7,,,,,,,,,,,,,,,,,,
,,8354,e,,8354,1.712500037,8354,8355,3,,6,,,52143,-397.5801917,11,51981,65.52870178,14,52176,-18.86850357,7,0,0,0,0,0,0,0,,,35229,39.29938351,35227,35235,10,-1,7,,,,,,,,,,,,,,,,,,
,,8361,E,,8361,66.80134397,8356,8367,13,1,4,,,52640,-473.0946195,11,52527,-3.09224391,4,52682,-26.76237297,9,0,0,0,0,0,0,0,,,35260,1.635651968,35260,35261,3,,7,,,,,,,,,,,,,,,,,,
,,8375,P,,8375,3.535455027,8373,8376,5,-1,7,,,53344,-452.2983973,10,53164,103.7888718,25,53358,-25.59469795,11,0,0,0,2,24.77575972,0,0,,,35627,17.66478314,35625,35629,6,-1,7,,,,,,,,,,,,,,,,,,
,,8390,P,,8390,30.40947119,8388,8393,7,-1,7,,,54692,-585.5286306,12,54482,98.98796844,20,54706,-34.45680618,13,54469,-30.43098068,5,1,19.52761415,2,29.97486575,,,35982,1.856551305,35982,35983,3,,7,,,,,,,,,,,,,,,,,,
,,8429,P,,8429,17.80815254,8420,8436,18,1,7,,,55027,-526.3509462,11,54847,88.35958099,19,55041,-39.63822174,21,0,0,0,1,32.86772123,0,0,,,36264,43.73781438,36262,36269,9,-1,7,,,,,,,,,,,,,,,,,,
,,8553,R,,8553,71.71355635,8549,8555,8,-1,3,,,55873,-516.7697971,10,55676,82.87976074,17,55883,18.77302742,8,55660,16.50266838,15,1,45.1073242,1,7.990472018,,,37289,41.817564,37288,37290,4,1,7,,,,,,,,,,,,,,,,,,
,,8569,r,,8569,24.71801978,8563,8576,15,-1,5,,,56932,-614.0104869,10,56715,86.20626068,15,56941,30.32658005,12,56705,54.21562958,12,1,47.76700045,0,0,,,37313,0.817825984,37313,37313,2,,7,,,,,,,,,,,,,,,,,,
,,9223,e,,9223,20.74380426,9219,9231,14,1,6,,,57218,-612.5166878,9,57059,60.58235931,14,57229,-41.95002365,13,57048,-130.2825165,7,0,0,0,0,,,37329,36.7246276,37327,37332,7,-1,7,,,,,,,,,,,,,,,,,,
,,9239,E,,9239,65.89454009,9232,9248,18,1,4,,,57524,-549.5974952,10,57367,70.68079376,11,0,0,0,57356,80.73251343,14,1,34.96200653,0,0,,,37360,20.17334323,37356,37370,16,-1,7,,,,,,,,,,,,,,,,,,
